game_id,season,week,date,home_team,away_team,home_score,away_score,Winner,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_td,home_pass_int,home_pass_sacked,home_pass_sacked_yds,home_rush_att,home_rush_yds,home_rush_td,home_first_down,home_penalties,home_penalties_yds,home_fumbles_lost,home_plays_offense,home_fga,home_fgm,home_xpa,home_xpm,home_punt,home_punt_yds,home_turnovers,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_td,away_pass_int,away_pass_sacked,away_pass_sacked_yds,away_rush_att,away_rush_yds,away_rush_td,away_first_down,away_penalties,away_penalties_yds,away_fumbles_lost,away_plays_offense,away_fga,away_fgm,away_xpa,away_xpm,away_punt,away_punt_yds,away_turnovers,spread_line,total_line,home_moneyline,away_moneyline,stadium,roof,surface,temp,wind,game_type,weekday,gametime,location,home_coach,away_coach,referee
2014_17_CLE_BAL,2014,17,12/28/2014,BAL,CLE,20,10,BAL,22,37,312,2,0,1,0,28,129,0,22,6,43,0,86,2,2,2,2,0,0,0,14,32,177,0,1,4,0,29,109,1,16,9,70,1,81,1,1,1,1,0,0,2,14,40,-1000,760,M&T Bank Stadium,outdoors,sportturf,54,5,REG,Sunday,13:00,Home,John Harbaugh,Mike Pettine,Gene Steratore
2014_17_JAX_HOU,2014,17,12/28/2014,HOU,JAX,23,17,HOU,25,38,250,2,1,3,0,39,123,1,24,4,25,1,98,0,0,3,3,0,0,2,15,39,140,1,0,5,0,14,121,0,13,6,55,0,71,2,1,2,2,0,0,0,8.5,38.5,-400,346,NRG Stadium,closed,grass,,,REG,Sunday,13:00,Home,Bill O'Brien,Gus Bradley,John Parry
2014_17_SD_KC,2014,17,12/28/2014,KC,SD,19,7,KC,16,31,157,0,0,4,0,26,111,0,15,8,47,0,79,5,4,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,3,42.5,-152,137,Arrowhead Stadium,outdoors,grass,31,7,REG,Sunday,13:00,Home,Andy Reid,Mike McCoy,Peter Morelli
2014_17_NYJ_MIA,2014,17,12/28/2014,MIA,NYJ,24,37,NYJ,23,46,259,1,0,7,0,20,179,2,23,8,60,1,92,2,1,3,3,0,0,1,21,28,396,3,0,1,0,34,104,1,18,2,20,1,81,4,3,4,4,0,0,1,7,41,-320,281,Sun Life Stadium,outdoors,grass,80,12,REG,Sunday,13:00,Home,Joe Philbin,Rex Ryan,Craig Wrolstad
2014_17_CHI_MIN,2014,17,12/28/2014,MIN,CHI,13,9,MIN,17,28,209,1,1,3,0,33,121,0,15,4,35,0,76,2,2,1,1,0,0,1,23,38,172,0,0,2,0,21,99,0,12,8,40,0,80,4,3,0,0,0,0,0,7,47,-300,264,TCF Bank Stadium,outdoors,fieldturf,15,0,REG,Sunday,13:00,Home,Mike Zimmer,Marc Trestman,Jeff Triplette
2014_17_BUF_NE,2014,17,12/28/2014,NE,BUF,9,17,BUF,18,37,170,0,0,4,0,25,116,0,14,7,69,0,78,3,3,0,0,0,0,0,16,25,176,1,0,2,0,33,104,1,16,3,30,1,75,1,1,2,2,0,0,1,4.5,43.5,-218,195,Gillette Stadium,outdoors,fieldturf,49,9,REG,Sunday,13:00,Home,Bill Belichick,Doug Marrone,Terry McAulay
2014_17_PHI_NYG,2014,17,12/28/2014,NYG,PHI,26,34,PHI,28,53,429,1,1,0,0,25,76,1,22,6,60,0,102,4,4,2,2,0,0,1,23,40,292,2,1,4,0,32,164,1,23,7,81,0,100,2,2,4,4,0,0,1,-1,51.5,-105,-105,MetLife Stadium,outdoors,fieldturf,48,8,REG,Sunday,13:00,Home,Tom Coughlin,Chip Kelly,Walt Coleman
2014_17_NO_TB,2014,17,12/28/2014,TB,NO,20,23,NO,14,26,115,1,1,3,0,39,183,1,17,3,23,0,80,2,2,2,2,0,0,1,24,40,281,1,3,2,0,23,70,2,20,3,15,0,79,0,0,3,3,0,0,3,-6,47,216,-242,Raymond James Stadium,outdoors,grass,79,6,REG,Sunday,13:00,Home,Lovie Smith,Sean Payton,Brad Allen
2014_17_IND_TEN,2014,17,12/28/2014,TEN,IND,10,27,IND,13,35,79,1,0,4,0,24,142,0,9,3,15,1,77,1,1,1,1,0,0,1,23,36,315,3,0,1,0,30,64,0,16,5,25,0,88,3,2,3,3,0,0,0,-7.5,46.5,281,-320,LP Field,outdoors,grass,40,6,REG,Sunday,13:00,Home,Ken Whisenhunt,Chuck Pagano,Tony Corrente
2014_17_DAL_WAS,2014,17,12/28/2014,WAS,DAL,17,44,DAL,27,44,336,1,2,3,0,24,104,1,19,8,59,2,88,1,1,2,2,0,0,4,22,34,299,2,1,0,0,27,174,2,19,8,90,0,83,3,3,5,5,0,0,1,-6,47.5,222,-250,FedExField,outdoors,grass,58,0,REG,Sunday,13:00,Home,Jay Gruden,Jason Garrett,Jerome Boger
2014_17_CAR_ATL,2014,17,12/28/2014,ATL,CAR,3,34,CAR,29,53,260,0,2,6,0,16,63,0,16,8,56,1,90,1,1,0,0,0,0,3,10,17,114,1,0,1,0,35,194,1,17,3,16,0,66,2,2,4,4,0,0,0,2.5,48,-128,116,Georgia Dome,dome,fieldturf,,,REG,Sunday,16:25,Home,Mike Smith,Ron Rivera,Bill Leavy
2014_17_OAK_DEN,2014,17,12/28/2014,DEN,OAK,47,14,DEN,23,40,312,1,0,1,0,34,142,3,25,5,72,1,96,4,4,5,5,0,0,1,,,,,,,,,,,,,,,,,,,,,,,16.5,49,-1300,925,Sports Authority Field at Mile High,outdoors,grass,40,7,REG,Sunday,16:25,Home,John Fox,Tony Sparano,Clete Blakeman
2014_17_DET_GB,2014,17,12/28/2014,GB,DET,30,20,GB,18,24,232,2,0,1,0,38,152,1,24,10,54,2,84,1,0,4,4,0,0,2,20,43,217,3,0,2,0,24,111,0,23,5,39,1,83,0,0,2,2,0,0,1,9,46.5,-400,346,Lambeau Field,outdoors,grass,27,5,REG,Sunday,16:25,Home,Mike McCarthy,Jim Caldwell,Walt Anderson
2014_17_STL_SEA,2014,17,12/28/2014,SEA,STL,20,6,SEA,17,28,239,0,1,3,0,34,132,1,16,2,20,1,75,2,2,2,2,0,0,2,,,,,,,,,,,,,,,,,,,,,,,11,41.5,-530,446,CenturyLink Field,outdoors,fieldturf,43,5,REG,Sunday,16:25,Home,Pete Carroll,Jeff Fisher,Ronald Torbert
2014_17_ARI_SF,2014,17,12/28/2014,SF,ARI,20,17,SF,15,27,204,2,0,1,0,33,206,0,18,7,55,0,81,2,2,2,2,0,0,0,23,42,316,2,3,2,0,25,98,0,26,6,44,0,82,1,1,2,2,0,0,3,6,38,-247,220,Levi's Stadium,outdoors,grass,51,3,REG,Sunday,16:25,Home,Jim Harbaugh,Bruce Arians,Carl Cheffers
2014_17_CIN_PIT,2014,17,12/28/2014,PIT,CIN,27,17,PIT,24,39,317,2,2,0,0,18,29,0,18,4,30,1,73,2,2,3,3,0,0,3,27,41,244,2,2,3,0,29,116,0,19,2,25,1,86,2,1,2,2,0,0,3,3,48,-150,136,Heinz Field,outdoors,grass,37,5,REG,Sunday,20:30,Home,Mike Tomlin,Marvin Lewis,Ed Hochuli
2014_18_ARI_CAR,2014,18,1/3/2015,CAR,ARI,27,16,CAR,18,33,198,2,1,1,0,41,188,1,25,13,98,1,102,3,2,3,3,0,0,2,16,32,82,1,2,4,0,15,27,1,8,2,20,2,68,0,0,2,2,0,0,4,5.5,37.5,-242,216,Bank of America Stadium,outdoors,grass,51,6,WC,Saturday,16:35,Home,Ron Rivera,Bruce Arians,Ed Hochuli
